1,11
2,11
3,10
4,10
5,8
6,10
7,10
8,10
9,8
10,9
11,11
12,11
13,11
14,9
15,9
16,8
17,10
18,10
19,9
20,10
21,9
22,9
23,10
24,9
25,9
26,10
27,8
28,9
29,10
30,9
31,8
32,9
33,8
34,11
35,9
36,10
37,9
38,11
39,11
40,9
41,8
42,9
43,11
44,8
45,10
46,9
47,9
48,9
49,9
50,10
51,10
52,9
53,10
54,10
55,9
56,10
57,10
58,10
59,8
60,10
61,9
62,10
63,10
64,9
65,11
66,10
67,10
68,10
69,10
70,9
71,11
72,9
73,9
74,8
75,9
76,10
77,8
78,10
79,9
80,9
81,11
82,10
83,9
84,9
85,10
86,11
87,12
88,10
89,10
90,10
91,10
92,8
93,9
94,9
95,9
96,9
97,10
98,8
99,10
100,9
