1,8
2,9
3,9
4,10
5,9
6,10
7,11
8,8
9,10
10,10
11,10
12,9
13,9
14,9
15,9
16,11
17,9
18,10
19,11
20,9
21,8
22,9
23,10
24,10
25,9
26,11
27,11
28,9
29,9
30,10
31,8
32,9
33,10
34,9
35,10
36,10
37,10
38,11
39,9
40,10
41,9
42,11
43,11
44,8
45,10
46,7
47,11
48,9
49,11
50,10
51,13
52,10
53,10
54,9
55,10
56,11
57,9
58,9
59,9
60,11
61,8
62,9
63,10
64,10
65,9
66,9
67,10
68,10
69,9
70,9
71,11
72,9
73,11
74,9
75,9
76,10
77,9
78,12
79,9
80,8
81,7
82,9
83,9
84,10
85,8
86,10
87,9
88,9
89,9
90,8
91,9
92,11
93,8
94,10
95,8
96,8
97,9
98,11
99,9
100,10
