1,8
2,10
3,10
4,9
5,9
6,8
7,10
8,10
9,10
10,11
11,10
12,9
13,7
14,10
15,11
16,10
17,11
18,10
19,8
20,11
21,8
22,11
23,9
24,8
25,9
26,10
27,9
28,9
29,9
30,11
31,8
32,9
33,10
34,9
35,10
36,10
37,9
38,10
39,9
40,8
41,9
42,11
43,11
44,9
45,9
46,9
47,9
48,10
49,10
50,10
51,10
52,10
53,10
54,10
55,9
56,10
57,9
58,9
59,10
60,8
61,11
62,10
63,9
64,10
65,8
66,9
67,10
68,10
69,9
70,10
71,9
72,9
73,9
74,10
75,11
76,8
77,11
78,11
79,9
80,9
81,9
82,10
83,10
84,11
85,10
86,10
87,9
88,9
89,11
90,10
91,10
92,9
93,9
94,9
95,8
96,8
97,9
98,11
99,10
100,9
